#Transcript position	Transcript coverage profile
0.0	247161.7553549958
1.0	265743.819814119
2.0	283054.8831829246
3.0	293758.18381950835
4.0	302584.7004002046
5.0	311022.7956496748
6.0	316373.7344418047
7.0	319491.01448162255
8.0	322313.263993399
9.0	324668.71474529867
10.0	324900.4900978494
11.0	326736.0764765658
12.0	324780.23243182537
13.0	322438.48757789424
14.0	319758.155051699
15.0	319510.0768386557
16.0	318071.4385216046
17.0	317067.6277520551
18.0	315424.5726904858
19.0	311969.2508231634
20.0	311937.4019242343
21.0	310310.41920799785
22.0	308371.8580677293
23.0	305682.2443600925
24.0	305187.0112368015
25.0	305524.76433992514
26.0	304363.5165755261
27.0	302149.09683228127
28.0	300854.81989652483
29.0	300339.21257618285
30.0	300324.29775199224
31.0	298373.02167757845
32.0	298601.1501149357
33.0	298523.08500649215
34.0	297343.27933299757
35.0	296672.39063437295
36.0	295463.87377776013
37.0	294160.9394661858
38.0	292775.4109265943
39.0	291171.33281008585
40.0	291626.8805483207
41.0	290205.8950122868
42.0	288975.49183957826
43.0	287319.461017263
44.0	285351.0841454617
45.0	283966.7332670698
46.0	282004.12245697854
47.0	278732.7646093876
48.0	277683.29351685935
49.0	277113.25692440243
50.0	276081.58008408436
51.0	275742.3489305894
52.0	273518.4469688609
53.0	271771.93069030315
54.0	270862.1909151757
55.0	269061.4405653655
56.0	266143.1883976267
57.0	263448.2588778297
58.0	262660.2714785784
59.0	261731.60039765487
60.0	259831.55830851273
61.0	258580.31098997832
62.0	258219.0457280525
63.0	256896.71217853788
64.0	254580.2489506218
65.0	252157.70078765022
66.0	250472.34545608945
67.0	250512.33437639382
68.0	249179.19178922847
69.0	247342.57539051762
70.0	246889.07780786185
71.0	245793.13898363523
72.0	245499.73027997426
73.0	245718.9541607714
74.0	243897.03607570942
75.0	243454.04395355706
76.0	242427.10942680875
77.0	241927.52087721843
78.0	240422.4948729703
79.0	239765.98557808058
80.0	239944.2448762266
81.0	238569.5571922794
82.0	236665.43781333303
83.0	234271.4241364279
84.0	231215.28130883345
85.0	227335.34105279992
86.0	222570.40502849928
87.0	217301.44263578445
88.0	209008.21128272996
89.0	199449.39731847835
90.0	188295.55633060617
91.0	175334.4747582373
92.0	161405.68935545097
93.0	144718.9132203455
94.0	128448.89641222713
95.0	108709.67248581287
96.0	85105.01231937001
97.0	60776.70071625472
98.0	36887.808804368855
99.0	11267.50529512055
