#Transcript position	Transcript coverage profile
0.0	69988.69617322773
1.0	75777.10295293058
2.0	86643.27444819672
3.0	93305.07708987771
4.0	99843.5781498905
5.0	108038.79429302091
6.0	112620.74293109402
7.0	114999.74240719323
8.0	117340.77140008994
9.0	119074.56637193449
10.0	119747.38972113177
11.0	121859.86792468104
12.0	121211.94160512926
13.0	118193.22002222277
14.0	116493.51585160731
15.0	117121.18721849607
16.0	116814.95245729323
17.0	116686.10053566695
18.0	115132.22755874672
19.0	113230.5928382429
20.0	115191.33929974002
21.0	113797.5601973651
22.0	112210.16424444661
23.0	110016.62074034491
24.0	110328.21188383664
25.0	111647.42800917297
26.0	110973.98717965189
27.0	110909.62099332272
28.0	111071.38874941212
29.0	110908.9312247933
30.0	110878.73926207435
31.0	109398.74803673304
32.0	111181.73820161767
33.0	112068.60661955866
34.0	112087.22475608828
35.0	111699.03166983069
36.0	110736.89123443986
37.0	110233.35360705886
38.0	109727.51258645357
39.0	109191.56683311544
40.0	109567.4459228785
41.0	109402.79920657996
42.0	108578.95492417787
43.0	107215.43744348617
44.0	105845.50228361959
45.0	104512.54550799823
46.0	103657.03217851771
47.0	101097.17985880082
48.0	100218.76619897534
49.0	100016.72992947443
50.0	99362.8627252865
51.0	98126.3172857419
52.0	95940.59808959698
53.0	95001.24436518621
54.0	94324.64867772511
55.0	92893.82710953303
56.0	90922.53841071314
57.0	89341.35820434958
58.0	89149.41196195815
59.0	88993.52615466283
60.0	87951.690612862
61.0	87370.81115383506
62.0	87128.66494803526
63.0	84734.0913995563
64.0	83078.06464474143
65.0	81528.48983715156
66.0	79782.9539676176
67.0	78900.17457661718
68.0	77900.46200915513
69.0	76724.15856423396
70.0	77117.80185663051
71.0	76191.93290192097
72.0	75169.19470218636
73.0	74685.30626678835
74.0	73156.69189615849
75.0	72329.53363279217
76.0	71035.03579309832
77.0	69732.75242199126
78.0	68151.09238690771
79.0	67139.87251431735
80.0	66948.61472201564
81.0	66225.54552652594
82.0	64618.181073574466
83.0	62828.15313186727
84.0	60795.84602563043
85.0	58927.54500678867
86.0	57321.85279038795
87.0	55551.33047228925
88.0	51764.25188799092
89.0	48632.04520521616
90.0	44788.23540030715
91.0	41008.84226841449
92.0	37283.09797032293
93.0	32162.173865187375
94.0	28742.570724355297
95.0	23078.892106327177
96.0	14615.808601492667
97.0	10180.142387335267
98.0	6441.707879071698
99.0	1271.5574671840077
