#Transcript position	Transcript coverage profile
0.0	265319.87565034366
1.0	286385.3055938969
2.0	306120.6168171979
3.0	318163.21944413515
4.0	327581.748865698
5.0	336615.3594598285
6.0	341813.4525231078
7.0	344609.52983097493
8.0	347056.2029121914
9.0	349019.07635248214
10.0	348304.8626947304
11.0	349225.94933454966
12.0	346164.7499430481
13.0	342830.1967205581
14.0	339416.4756663067
15.0	338485.87742844375
16.0	336080.15425217827
17.0	334234.6086751574
18.0	331391.8509575749
19.0	327021.24179064267
20.0	326548.8354894072
21.0	324488.0692542502
22.0	321694.35249867936
23.0	318424.86251114716
24.0	317545.78223864594
25.0	317498.5061780044
26.0	316147.1537204726
27.0	313822.77350888256
28.0	312348.9425763317
29.0	311695.62773469003
30.0	311310.43574442726
31.0	308906.3126251401
32.0	308910.61846607295
33.0	308730.4034383151
34.0	307144.7560687743
35.0	306269.5750934516
36.0	304863.30516161356
37.0	303373.59028179594
38.0	301755.20860291185
39.0	300020.62460018834
40.0	300368.29576804035
41.0	298875.46453546535
42.0	297327.835441089
43.0	295411.18806717946
44.0	293223.92421286495
45.0	291680.9228713418
46.0	289575.74174822844
47.0	286163.02651765203
48.0	285031.5760766447
49.0	284372.8842818868
50.0	283316.9168254049
51.0	282608.5827422522
52.0	280192.5266703865
53.0	278258.12077126093
54.0	277168.97975397
55.0	275263.9741476017
56.0	272166.27352028707
57.0	269319.5777832075
58.0	268296.3060060516
59.0	267384.32651052944
60.0	265500.7750368512
61.0	264075.39857333375
62.0	263585.3111574718
63.0	261921.1676190544
64.0	259522.11595325437
65.0	256868.79331434757
66.0	255052.23082817893
67.0	255113.1486711825
68.0	253747.19929572855
69.0	251893.102400617
70.0	251337.69393992648
71.0	250220.49177174454
72.0	250043.8001190661
73.0	250287.21648212493
74.0	248414.92363321435
75.0	247993.44064620652
76.0	247036.5267500096
77.0	246464.3265826837
78.0	244943.63132334495
79.0	244254.95126768842
80.0	244328.98095388303
81.0	242836.0370756435
82.0	240979.3504519197
83.0	238609.94695824644
84.0	235552.79367930154
85.0	231559.8582683164
86.0	226688.4812799634
87.0	221350.3732583021
88.0	212797.15334944206
89.0	202945.0501148088
90.0	191632.6367185153
91.0	178454.48914318834
92.0	164164.2169685937
93.0	147144.7122527448
94.0	130588.04413446107
95.0	110425.56143325205
96.0	86380.65533979185
97.0	61742.54917773036
98.0	37527.78534263468
99.0	11407.904676974791
